;;;;;;;;;;;;;x,,
hide_army_stacks_title;§CHide the armies§!;
hide_army_stacks_desc;Hide all the decisions that allow army stack creation. NOTE: To use the built armies, group the new units together and they will function as usual.;
show_army_stacks_title;§CShow the armies§!;
show_army_stacks_desc;Show all the decisions that allow army stack creation. NOTE: To use the built armies, group the new units together and they will function as usual.;
early_4_1_5_stack_title;§CEarly 4/1/5 Army§!;
early_4_1_5_stack_desc;Construct an army of 4 infantry, 1 hussar, and 5 artillery in the capital. Will consume the same amount of goods as if built manually.;
early_1_5_mob_title;§CEarly 1/5 Mob Army§!;
early_1_5_mob_desc;Construct an army of 1 hussar and 5 artillery in the capital. Will consume the same amount of goods as if built manually.;
late_1_4_mob_title;§CLate 1/4 Mob Army§!;
late_1_4_mob_desc;Construct an army of 1 plane and 4 artillery in the capital. Will consume the same amount of goods as if built manually.;
OCE;Oceania;
OCE_democracy;Oceania;
OCE_absolute_monarchy;Empire of Oceania;
OCE_prussian_constitutionalism;Empire of Oceania;
OCE_hms_government;Oceania;
OCE_presidential_dictatorship;Oceania;
OCE_bourgeois_dictatorship;Free Oceania;
OCE_proletarian_dictatorship;The People of Oceania;
OCE_fascist_dictatorship;The Oceanic State;
OCE_ADJ;Oceanian;
form_oceania_title;Found Oceania;
form_oceania_desc;Our hegemony over the Oceanic region allows us to establish the new Oceanic Union. We will prosper together!;
request_australasian_independence_title;Request Independence;
request_australasian_independence_desc;We have been granted Dominion status by the British, and now we are permitted to go the full way and establish our own Republic.;
claim_papua_new_guinea_title;Claim New Guinea;
claim_papua_new_guinea_desc;Situated just to our north the empty lands in the East of New Guinea can be claimed by our government as our rightful domain.;
claim_java_title;Claim Java;
claim_java_desc;Although Java is already claimed by others, that does not stop us asserting our rightful control over the Island. They are part of Oceania like us.;
claim_oceanic_islands_title;Claim Oceanic Islands;
claim_oceanic_islands_desc;To ensure our areas of economic and military power projection, we must have control over the surrounding islands and chains.;
accept_melanesian_title;Acceptance of the New Guinea People;
accept_melanesian_desc;One of our earliest colonies, they should be citizens like the rest, not subjects.;
accept_moluccan_title;Reconcile with the Moluccans;
accept_moluccan_desc;The people of the islands are recognized with full civic rights like mainlanders.;
accept_javan_title;Integrate the Javanese;
accept_javan_desc;Our largest and most prosperous colony, let them be citzens of Oceania, any Javanese could be the Presdident!;
CEU;The Celtic Union;
CEU_democracy;The Celtic Union;
CEU_absolute_monarchy;The Celtic Empire;
CEU_prussian_constitutionalism;The Celtic Empire;
CEU_hms_government;The Celtic Union;
CEU_presidential_dictatorship;The Celtic Union;
CEU_bourgeois_dictatorship;Celtic Free State;
CEU_proletarian_dictatorship;Celtic Soviet State;
CEU_fascist_dictatorship;The Celtic Brotherhood;
CEU_ADJ;Celtic;
form_celtic_union_title;Found the Celtic Union;
form_celtic_union_desc;We are in a dominant position to found the Celtic Union, where we unite the disparate brother groups of our culture into one whole!;
claim_wales_title;Liberate Wales;
claim_wales_desc;Long has Wales suffered under foreign rule, we will seek to free them of this great injustice and welcome them into our Union.
claim_brittany_title;On to Brittany;
claim_brittany_desc;Across the Channel, our Breton brothers seek cultural autonomy that the French cannot provide. We shall provide it.;
claim_spanish_galicia_title;To Iberian Galicia;
claim_spanish_galicia_desc;Free the people of Galicia! Let them live in peace!;
IRE_liberal_2;Labour;
IRE_liberal_3;Labour;
IRE_conservative;Fianna Fáil;
IRE_reactionary;Cumann na nGaedheal;
IRE_anarcho_liberal;a;
IRE_socialist;Sinn Fein;
EAF;The Efrican Federation;
EAF_democracy;The Efrican Federation;
EAF_absolute_monarchy;The Coptic Empire;
EAF_prussian_constitutionalism;The Coptic Empire;
EAF_hms_government;The Coptic Empire;
EAF_presidential_dictatorship;The Efrican Union;
EAF_bourgeois_dictatorship;Free State of Efirca;
EAF_proletarian_dictatorship;Socialist Efrican Union;
EAF_fascist_dictatorship;The Efican State;
EAF_ADJ;Efrican;
indian_iron_production_title;Restore our Iron Production;
indian_iron_production_desc;India used to be the manufacturing heart of the world, but colonial exploitation has destroyed our manufacturing base. We must seek to use our rich deposits of iron ore for our new industrialising economy.;
indian_coal_production_title;Restore our Coal Production;
indian_coal_production_desc;Like with iron, coal is needed for a strong manufacturing base and to recover our economy from decades of colonial exploitation. Let us strike the earth for new veins of coal!;
form_coptic_empire_title;Proclaim the Coptic Empire;
form_coptic_empire_desc;We have unified out Coptic lands, with our new domain we may now proclaim the reborn Coptic Empire!;
eaf_claim_sudan_title;Demand Sudan;
eaf_claim_sudan_desc;We demand a route back to the Coptic Orthodox Church of Alexandria and our fellow breatheren in the region. We now demand Sudan!;
eaf_accept_sudan_title;Integrate Sudan;
eaf_accept_sudan_desc;Since the people of these regions are under our rule and have learned to accept our government, it is time we accept them in turn.;
eaf_accept_east_africa_title;Federal Rights for East Africa;
eaf_accept_east_africa_desc;The Federal Republic guarantees rights to all, afforded by our Constitution. All of the people within our borders are citizens in same!;
EVTNAME7777911;Our Destiny;
EVTDESC7777911;Two factions within our new nation are pulling at the government, demanding we expand either to the north coast (Myaphisite Faction) or to the southern lakes (Representative Faction). We could reaffirm our status as the Gods Empire on Earth, or move away from a religious justification of unity to one more republican and anti-colonial in nature. We must decide which factions ideas to follow:;
EVT7777911PTA;To the North Coast and the Church of Alexandria!;
EVT7777911PTB;To the Southern Lakes of East Africa!;
EVTNAME7777912;The Church of Alexandria;
EVTDESC7777912;We have reclaimed our birthright and Copts are in control of the Church of Alexandria once more. A large number of Sunni muslims now live inside our borders, should we seek to convert them to our christian ways, or leave them be?;
coptic_conversions;Coptic Conversions;
EVT7777912PTA;They will know the way of God;
EVT7777912PTB;It is not for us to show their way to God;
eaf_resources_title;New Industrial Mining;
eaf_resources_desc;We must strike the earth to take advantage of our natural resources, many of which can be used in our flourishing new industrial economy.;
nge_resources_title;New Industrial Mining;
option_disable_colonial_railroading_title;§POption: Disable Colonial Railroading§!;
option_disable_colonial_railroading_desc;Remove the AIs preference for historical colonising;
nge_resources_desc;We must strike the earth to take advantage of our natural resources, many of which can be used in our flourishing new industrial economy.;
commerce_raider;Submarine;
commerce_raider_short;SR;
commerce_raiders;Submarines;
commerce_raiders_desc;A submarine (or sub) is a watercraft capable of independent operation underwater.;
first_combat_subs;First Combat Submarines;
first_combat_subs_desc;The submarine became a potentially viable weapon with the development of the Whitehead torpedo, designed in 1866 by British engineer Robert Whitehead, the first practical self-propelled or 'locomotive' torpedo. The spar torpedo that had been developed earlier by the Confederate States Navy was considered to be impracticable, as it was believed to have sunk both its intended target, and probably H. L. Hunley, the submarine that deployed it.;
new_carriers;Aircraft Carriers;
new_carriers_desc;An aircraft carrier is a warship that serves as a seagoing airbase, equipped with a full-length flight deck and facilities for carrying, arming, deploying, and recovering aircraft.;
2nd_combat_subs;Great War Subs;
2nd_combat_subs_desc;The first time military submarines had significant impact on a war was in World War I. Forces such as the U-boats of Germany operated against Allied commerce (Handelskrieg); the submarine's ability to function as a practical war machine relied on new tactics, their numbers, and submarine technologies such as combination diesel/electric power system that had been developed in the preceding years.;
interwar_carriers;Interwar Carriers;
interwar_carriers_desc;As a result of the Washington Naval Treaty of 1922, which limited the construction of new heavy surface combat ships, most early aircraft carriers were conversions of ships that were laid down (or had served) as different ship types: cargo ships, cruisers, battlecruisers, or battleships.;
advanced_carrier_hull;Carrier Hull Advancements;
advanced_carrier_hull_desc;Specialist carrier evolution was well underway in the 1920s, with several navies ordering and building warships that were purposefully designed to function as aircraft carriers by the mid-1920s.;
quantative_easing;Quantitative Easing;
quantative_easing_desc;QE is a monetary policy whereby a central bank purchases at scale government bonds or other financial assets in order to inject money into the economy to expand economic activity. Quantitative easing is considered to be an "unconventional" form of monetary policy, which is usually used when inflation is very low or negative, and when standard monetary policy instruments have become ineffective.;
unitary_vs_federal;Government Devolution & Centralisation;
unitary_vs_federal_desc;In a unitary system the only level of government besides the central is the local or municipal government. Within a federal system the state or provincial governments share sovereignty with the central government and have final jurisdiction over a broad range of policy areas. Empire / Republic wide powers can be devolved to the provines / states.;
EVTNAME7777913;Zheltorossiya;
EVTDESC7777913;We can seek to expand our domain into manchuria, accomplishing a dream of many Russians to straddle Eurasia. We must now decide whether to push fully for this, or whether to stick to outer Manchuria, or Priamurye, as it shall be known. If we demand all of Manchuria, we will also be able to annex Mongolia (if we puppet it, in the future).;
EVT7777913OPTA;No, Priamurye is enough;
EVT7777913OPTB;Yes, we shall have it all;
angry_chinese_reform;Chinese Nationalist Reform;
angry_chinese_reform_desc;Enraged by demands on Manchuria, many more people of China will accept neccesary reforms, and even push full heartedly for them;
russia_annex_mongolia_title;Annex Mongolia;
russia_annex_mongolia_desc;As we carry on the path of Zheltorossiya, we will fully integrate our Mongolian puppet. Their people we be best served under our administration.;
POLITICS_DECISIONS;Decisions:;
POLITICS_DECISIONS_2;§PInitial Options§!, Alt/Historical, §CQoL Management§!, §EGeneral§!, §YMP§!;Décisions;Entscheidungen;;Decisiones;;;;;;;;;x;;;;
switch_to_traditional_academic_title;§ERestore The Academia§!;Rétablir l'académie;Akademische Ausrichtung wiederherstellen;;Restauración de la academia;;;;;;;;;x
switch_to_army_tech_title;§EMilitary-Industrial Complex§!;Complexe militaro-industriel;Militärisch-industrieller Komplex;;Complejo industrial militar;;;;;;;;;x
switch_to_navy_tech_title;§ESea power & The Merchant Marine§!;Puissance maritime & marine marchande;Seemacht & die Handelsmarine;;El Poder marítimo y la Marina Mercante;;;;;;;;;x
switch_to_culture_tech_title;§EAvantgarde Intelligentsia§!;Intelligentsia d'avant-garde;Avantgardistische Intelligentsia;;Intelectualidad de vanguardia;;;;;;;;;x
switch_to_trade_tech_title;§ETycoon Capitalism & Business Schools§!;Capitalisme poussé et écoles commerciales;Magnats-Kapitalismus & Kaufmannsschulen;;Escuelas de negocios y magnates del Capitalismo;;;;;;;;;x
switch_to_industry_tech_title;§ECorporative Industrialism§!;Industrialisme corporatif;Kooperativer Industrialismus;;Industrialismo corporativo;;;;;;;;;x
greater_naval_bases;Interwar Naval Bases;x
greater_naval_bases_desc;New cranes and tools to assist with construction and maintenance of ships allows more to be maintaned with the same shipyard crew;x
advanced_roads;Prewar Roads;x
advanced_roads_desc;-;x
advanced_roads_2;Interwar Roads I;x
advanced_roads_2_desc;-;x
advanced_roads_3;Interwar Roads II;x
advanced_roads_3_desc;-;x
leave_soi_title;§ELeave Sphere of Influence§!;Quitter la sphère d’influence;Einflusssphäre verlassen;;Abandonar esfera de influencia;;;;;;;;;x
