;;;;;;;;;;;;;x,,
executive_abilities;Executive;;;;;;;;;;;;;x,,
dictatorial;Dictatorial;;;;;;;;;;;;;x,,
dictatorial_desc;The executive does not need to cater to the popular will of the people, popular elections either do not happen, or do not matter.;;;;;;;;;;;;;x,,
presidential_system;Presidential;;;;;;;;;;;;;x,,
semi_presidential;Semi-Presidential;;;;;;;;;;;;;x,,
parliamentary_system;Parliamentary;;;;;;;;;;;;;x,,
parliamentary_system_desc;The executive is decided in the parliament, with the Monarch or President having very limited political power or impact, if any.;;;;;;;;;;;;;x,,
research_policy;R&D Policy;;;;;;;;;;;;;x,,
no_funding;No Funding;;;;;;;;;;;;;x,,
no_funding_desc;The government provides no additional support to research projects.;;;;;;;;;;;;;x,,
limited_funding;Limited Funding;;;;;;;;;;;;;x,,
limited_funding_desc;Whether due to lack of money, political will, or ability, only small funds are available for research.;;;;;;;;;;;;;x,,
funded;Funded;;;;;;;;;;;;;x,,
funded_desc;The government provides funding for public and private research initiatives.;;;;;;;;;;;;;x,,
prioritised_funding;Prioritised Funding;;;;;;;;;;;;;x,,
prioritised_funding_desc;High priority and significant funds are given to private and public institutions carrying out research.;;;;;;;;;;;;;x,,
