;;;;;;;;;;;;;x,,
interwar_warfare;Early Interwar Warfare;x
interwar_warfare_desc;New doctrines of concentrated armies and firepower to punch breaks in enemy lines are being theorised and tested.;x
interwar_warfare_2;Late Interwar Warfare;x
interwar_warfare_2_desc;New doctrines of concentrated armies and firepower to punch breaks in enemy lines are being theorised and tested.;x
professional_training;Professional Training;x
professional_training_desc;A professional army is composed of full-time soldiers who may be either career soldiers or conscripts. They are of higher quality, but require longer to train effectively;x
professional_training_2;Advanced Training;x
professional_training_2_desc;In order to use our increasing advanced weaponry and to learn the tacits of the day, training times must be increased.;x
rank_1;Rank 1;x
rank_2;Rank 2;x
rank_3;Rank 3;x
rank_4;Rank 4;x
rank_5;Rank 5;x
rank_6;Rank 6;x
rank_7;Rank 7;x
rank_8;Rank 8;x
radical;Radical;x
radical_uh;Radicals want to enact further political reforms, and have a low support for social reform but will become more supportive under conditions of intermediate militancy.;x
radical_rebels_name;Radicals;x
radical_rebels_army;Radicals;x
radical_rebels_desc;Radicals will seek to found a Republic if successful. They will advance all political reforms they can, and are supportive of some social reforms.;x
radical_rebels_title;Radicals;x
anarcho_liberal;Anarchist;x
anarcho_liberal_uh;Anarchists will advance all social and political reforms, and will revoke none.;x
anarcho_liberal_name;Anarchists;x
anarcho_liberal_army;Anarchists;x
anarcho_liberal_desc;Anarchists want the people free of state corceion, and for all to realise the value of their labour. They will seek to advance politial and social reforms.;x
EVTDESC60020;In the interests of the workers, a serious of confederated communes have been founded across the nation, combining local direct democracy and the principles of free assosication. Resources will be shared as agreed upon, and all workers will enjoy the value of their labour.;x
EVTOPTA60020;I love anarchism;x
queppe_gov_type;Anarchist Governance;x
med_tolls_title;§EToll the Mediterranean Strait§!;x
med_tolls_desc;Due to our dominance across the strait, we can exact a toll on any foreign ships that pass through the waters. Doing so will increase our income and prestige, but give just cause for war to the affected nations.;x
revoke_the_tolls_title;§ERevoke our Mediterranean Tolls§!;x
revoke_the_tolls_desc;The outrage caused by our actions has caused a national security risk. To make ammends we will remove our tolls on ships passing through the strait.;x
EVTNAME7777926;The New Mediterranean Tolls;x
EVTDESC7777926;Outrageous! We must now submit to the taxation of our goods transported through the Mediterranean Strait. We can seek to rectify the situation via war, and force the offending nation to back down from their tolls permanently.;x
EVT7777926OPTA;We will not stand for this affront;x
EVTNAME7777927;Control lost over the strait;x
EVTDESC7777927;Since we no longer control key land on either side of the strait, we have been forced to effectively rescind our taxation of goods passing through.;x
EVT7777927OPTA;Our coffers may now suffer;x
EVTNAME7777928;Mediterranean Tolls Rescinded;x
EVTDESC7777928;Through either war or diplomacy (or mayhaps both), the nation that so outrageously taxed our goods passing through the Mediterranean strait has been forced to revoke their charges permanently. Our merchants shall rejoice.;x
EVT7777928OPTA;As is right;x
trolling_the_med;Mediterranean Tolls;x
trolling_the_med_desc;We tax the goods passing through the strait, boosting our coffers and prestige;x
