Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
negotiated_state_transfer;Negotiated State Transfer;;;;;;;;;;;;;
negotiated_state_transfer_desc;Transfer a state or colonial region to another country with no effect on infamy, prestige, or jingoism and without a truce at the end;;;;;;;;;;;;;
negotiated_state_transfer_short;Transfer $STATE$;;;;;;;;;;;;;
negotiated_state_transfer_setup;Transfer $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_NEGOTIATE_STATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
AGRESSION_WAR_NEGOTIATE_STATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
negotiated_substate_transfer;Negotiated Substate Transfer;;;;;;;;;;;;;
negotiated_substate_transfer_desc;Transfer a substate with no effect on infamy, prestige, or jingoism and with a 1 month truce at the end;;;;;;;;;;;;;
negotiated_substate_transfer_short;Transfer $STATE$;;;;;;;;;;;;;
negotiated_substate_transfer_setup;Transfer $STATE$ from $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_NEGOTIATE_SUBSTATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
AGRESSION_WAR_NEGOTIATE_SUBSTATE_NAME;$ORDER$$SECOND$ Transfer of $STATE$ to $FIRST_COUNTRY$;;;;;;;;;;;;;
negotiated_puppet_release;Negotiated Puppet Release;;;;;;;;;;;;;
negotiated_puppet_release_desc;Release a puppet with no effect on infamy, prestige, or jingoism and with a 1 month truce at the end;;;;;;;;;;;;;
negotiated_puppet_release_short;$THIRD$ is released;;;;;;;;;;;;;
negotiated_puppet_release_setup;$THIRD$ is released;;;;;;;;;;;;;
NORMAL_WAR_NEGOTIATE_PUPPET_NAME;$ORDER$$SECOND$ Negotiated Puppet Release;;;;;;;;;;;;;
AGRESSION_WAR_NEGOTIATE_PUPPET_NAME;$ORDER$$SECOND$ Negotiated Puppet Release;;;;;;;;;;;;;
conquest_low;Minor Conquest;;;;;;;;;;;;;
conquest_low_desc;Annex a country of small size and population by conquest;;;;;;;;;;;;;
conquest_low_setup;Annex minor nation of $RECIPIENT$;;;;;;;;;;;;;
conquest_low_short;Annex $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_LOWER_TARIFFS_NAME;$ORDER$$FIRST$ War to Remove $SECOND$ Tariffs;;;;;;;;;;;;;
AGRESSION_WAR_LOWER_TARIFFS_NAME;$ORDER$$FIRST$ War to Remove $SECOND$ Tariffs;;;;;;;;;;;;;
lower_tariffs_cb;Lower Tariffs;;;;;;;;;;;;;
lower_tariffs_cb_desc;Force a country to remove their tariffs.;;;;;;;;;;;;;
lower_tariffs_cb_setup;Remove the tariffs of $RECIPIENT$;;;;;;;;;;;;;
lower_tariffs_cb_short;Remove the tariffs of $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_ACCESS_NAME;$ORDER$$FIRST$ War for $SECOND$ Military Access;;;;;;;;;;;;;
AGRESSION_WAR_ACCESS_NAME;$ORDER$$FIRST$ War for $SECOND$ Military Access;;;;;;;;;;;;;
military_access_cb;Military Access;;;;;;;;;;;;;
military_access_cb_desc;Force access through a non-GP, at the cost of their prestige. §YNOTE: do not peace out, the war is the access.§!;;;;;;;;;;;;;
military_access_cb_setup;Gain access through $RECIPIENT$;;;;;;;;;;;;;
military_access_cb_short;Gain access through $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_MASS_CONQUEST_NAME;$ORDER$$FIRST$ Mass Conquest of $SECOND_COUNTRY$;;;;;;;;;;;;;
AGRESSION_WAR_MASS_CONQUEST_NAME;$ORDER$$FIRST$ Mass Conquest of $SECOND_COUNTRY$;;;;;;;;;;;;;
mass_conquest_cb;Mass Conquest;;;;;;;;;;;;;
mass_conquest_cb_desc;Fully annex an independent nation. §YNOTE: Will cost 25 infamy when used§!.;;;;;;;;;;;;;
mass_conquest_cb_setup;Fully annex $RECIPIENT$;;;;;;;;;;;;;
mass_conquest_cb_short;Fully annex $RECIPIENT$;;;;;;;;;;;;;
NORMAL_WAR_NO_CB_NAME;Aggression War;;;;;;;;;;;;;
AGRESSION_WAR_NO_CB_NAME;Aggression War;;;;;;;;;;;;;
aggression_cb;Aggression War;;;;;;;;;;;;;
aggression_cb_desc;Start a war without justification. §YNOTE: Will cost 12 infamy when used.§!;;;;;;;;;;;;;
aggression_cb_short;No Set Goal;;;;;;;;;;;;;
aggression_cb_setup;No Initial Wargoal;;;;;;;;;;;;;
india_acquire_state;Unify India;;;;;;;;;;;;;
india_acquire_state_desc;Annex a state with Indian culture or a cultural core;;;;;;;;;;;;;
india_acquire_state_setup;Annex $STATE$;;;;;;;;;;;;;
india_acquire_state_short;Annex $STATE$;;;;;;;;;;;;;
NORMAL_WAR_INDIA_REUNIFICATION;$ORDER$$FIRST$ War of Indian Unification;;;;;;;;;;;;;
AGRESSION_WAR_INDIA_REUNIFICATION;$ORDER$$FIRST$ War of Indian Unification;;;;;;;;;;;;;
steal_puppet;Take Puppet;;;;;;;;;;;;;
steal_puppet_short;Puppet $THIRD$;;;;;;;;;;;;;
steal_puppet_desc;Take a §Ypuppet§W from a third country and make it our puppet.;;;;;;;;;;;;;
steal_puppet_setup;Take $THIRD$ from $RECIPIENT$.;;;;;;;;;;;;;
liberate_puppet;Liberate and Puppet Country;;Befreit das Land;;;;;;;;;;;
liberate_puppet_desc;Liberate and puppet an §Yentire country§W from its oppressors\n\n§YNOTE: §RDo not use it with normal Free people or Liberate Country CBs for other non existent countries.§!;;;;;;;;;;;;;
liberate_puppet_short;$THIRD$ acquires $STATE$ and becomes a puppet;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;$THIRD$ adquiere $STATE$;;;;;;;;;
liberate_puppet_setup;Puppet and return $STATE$ to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;;
overlord_puppet_cb;Overlord War;;;;;;;;;;;;;
overlord_puppet_cb_desc;Start a war with a puppetmaster to allow wargoals to be added on their puppet(s);;;;;;;;;;;;;
overlord_puppet_cb_short;Fighting the overlord;;;;;;;;;;;;;
overlord_puppet_cb_setup;Declare on the overlord;;;;;;;;;;;;;
NORMAL_WAR_OVERLORD_NAME;$ORDER$$FIRST$ - $SECOND_COUNTRY$ Overlord War;;;;;;;;;;;;;
AGRESSION_WAR_OVERLORD_NAME;$RECIPIENT$ Overlord War;;;;;;;;;;;;;
take_from_sphere;Take from Sphere;;;;;;;;;;;;;
install_radical_democracy;Enforce Republic;;;;;;;;;;;;;
